Country,Percentile,Year,Share
United Kingdom,p90p100,1970,0.2829
United Kingdom,p90p100,1971,0.2824
United Kingdom,p90p100,1972,0.2817
United Kingdom,p90p100,1973,0.2814
United Kingdom,p90p100,1974,0.281
United Kingdom,p90p100,1975,0.2807
United Kingdom,p90p100,1976,0.2801
United Kingdom,p90p100,1977,0.2796
United Kingdom,p90p100,1978,0.2793
United Kingdom,p90p100,1979,0.2783
United Kingdom,p90p100,1980,0.2848
United Kingdom,p90p100,1981,0.2848
United Kingdom,p90p100,1982,0.2866
United Kingdom,p90p100,1983,0.2905
United Kingdom,p90p100,1984,0.2964
United Kingdom,p90p100,1985,0.2974
United Kingdom,p90p100,1986,0.2989
United Kingdom,p90p100,1987,0.3023
United Kingdom,p90p100,1988,0.3095
United Kingdom,p90p100,1989,0.3095
United Kingdom,p90p100,1990,0.3291
United Kingdom,p90p100,1991,0.3356
United Kingdom,p90p100,1992,0.3363
United Kingdom,p90p100,1993,0.3423
United Kingdom,p90p100,1994,0.3435
United Kingdom,p90p100,1995,0.3449
United Kingdom,p90p100,1996,0.3564
United Kingdom,p90p100,1997,0.3562
United Kingdom,p90p100,1998,0.3661
United Kingdom,p90p100,1999,0.3676
United Kingdom,p90p100,2000,0.3597
United Kingdom,p90p100,2001,0.363
United Kingdom,p90p100,2002,0.3659
United Kingdom,p90p100,2003,0.3781
United Kingdom,p90p100,2004,0.3721
United Kingdom,p90p100,2005,0.384
United Kingdom,p90p100,2006,0.3873
United Kingdom,p90p100,2007,0.3876
United Kingdom,p90p100,2008,0.3707
United Kingdom,p90p100,2009,0.3865
United Kingdom,p90p100,2010,0.3484
United Kingdom,p90p100,2011,0.358
United Kingdom,p90p100,2012,0.3669
United Kingdom,p90p100,2013,0.3881
United Kingdom,p90p100,2014,0.3686
United Kingdom,p90p100,2015,0.3569
United Kingdom,p90p100,2016,0.3572
United Kingdom,p90p100,2017,0.3612
United Kingdom,p90p100,2018,0.3612
United Kingdom,p90p100,2019,0.3579
United Kingdom,p90p100,2020,0.3583
United Kingdom,p90p100,2021,0.3582
United Kingdom,p0p50,1970,
United Kingdom,p0p50,1971,
United Kingdom,p0p50,1972,
United Kingdom,p0p50,1973,
United Kingdom,p0p50,1974,
United Kingdom,p0p50,1975,
United Kingdom,p0p50,1976,
United Kingdom,p0p50,1977,
United Kingdom,p0p50,1978,
United Kingdom,p0p50,1979,
United Kingdom,p0p50,1980,0.2257
United Kingdom,p0p50,1981,0.2257
United Kingdom,p0p50,1982,0.2253
United Kingdom,p0p50,1983,0.2219
United Kingdom,p0p50,1984,0.218
United Kingdom,p0p50,1985,0.2156
United Kingdom,p0p50,1986,0.2148
United Kingdom,p0p50,1987,0.2125
United Kingdom,p0p50,1988,0.2085
United Kingdom,p0p50,1989,0.2094
United Kingdom,p0p50,1990,0.1952
United Kingdom,p0p50,1991,0.1923
United Kingdom,p0p50,1992,0.1919
United Kingdom,p0p50,1993,0.1893
United Kingdom,p0p50,1994,0.1923
United Kingdom,p0p50,1995,0.1871
United Kingdom,p0p50,1996,0.187
United Kingdom,p0p50,1997,0.1871
United Kingdom,p0p50,1998,0.1859
United Kingdom,p0p50,1999,0.1824
United Kingdom,p0p50,2000,0.1875
United Kingdom,p0p50,2001,0.1851
United Kingdom,p0p50,2002,0.1846
United Kingdom,p0p50,2003,0.1804
United Kingdom,p0p50,2004,0.1849
United Kingdom,p0p50,2005,0.1815
United Kingdom,p0p50,2006,0.1799
United Kingdom,p0p50,2007,0.1835
United Kingdom,p0p50,2008,0.1861
United Kingdom,p0p50,2009,0.1763
United Kingdom,p0p50,2010,0.1976
United Kingdom,p0p50,2011,0.1944
United Kingdom,p0p50,2012,0.1878
United Kingdom,p0p50,2013,0.1829
United Kingdom,p0p50,2014,0.1931
United Kingdom,p0p50,2015,0.1986
United Kingdom,p0p50,2016,0.2002
United Kingdom,p0p50,2017,0.2034
United Kingdom,p0p50,2018,0.2019
United Kingdom,p0p50,2019,0.2029
United Kingdom,p0p50,2020,0.2028
United Kingdom,p0p50,2021,0.2028