country,pop2022,gniLatest
Algeria,44903.225,3550
Angola,35588.987,2230
Benin,13352.864,1280
Botswana,2630.296,6640
Burkina Faso,22673.762,790
Burundi,12889.576,270
Cameroon,27914.536,1500
Cape Verde,593.149,
Central African Republic,5579.144,510
Chad,17723.315,660
Comoros,836.774,1450
Djibouti,1120.849,3320
Democratic Republic of the Congo,99010.212,550
Egypt,110990.103,3000
Equatorial Guinea,1674.908,5810
Eritrea,3684.032,510
Eswatini,1201.67,3580
Ethiopia,123379.924,890
Gabon,2388.992,6970
Gambia,2705.992,750
Ghana,33475.87,2230
Guinea,13859.341,1020
Guinea Bissau,2105.566,760
Ivory Coast,28160.542,2280
Kenya,54027.487,1760
Lesotho,2305.825,1100
Liberia,5302.681,530
Libya,6812.341,4850
Madagascar,29611.714,480
Malawi,20405.317,580
Mali,22593.59,830
Mauritania,4736.139,1640
Mauritius,1299.469,10230
Morocco,37457.971,2980
Mozambique,32969.518,460
Namibia,2567.012,4520
Niger,26207.977,540
Nigeria,218541.212,2000
Republic of Congo,5970.424,1830
Rwanda,13776.698,780
Sao Tome and Principe,227.38,2070
Senegal,17316.449,1430
Seychelles,107.118,12720
Sierra Leone,8605.718,490
Somalia,17597.511,310
South Africa,59893.885,5410
South Sudan,10913.164,1090
Sudan,46874.204,650
Tanzania,65497.748,1080
Togo,8848.699,920
Tunisia,12356.117,3100
Uganda,47249.585,800
Zambia,20017.675,1190
Zimbabwe,16320.537,1090